Date	Hour	Tmax(C)	Tmin(C)	ET0	Rain(mm)
2021-06-10	04:45:22	12.83	11.94	0.0	0.0
2021-06-10	05:00:25	12.83	11.94	0.0	0.0
2021-06-10	05:15:29	12.83	11.94	0.0	0.0
2021-06-10	05:30:33	12.83	11.94	0.0	0.0
2021-06-10	05:45:37	12.83	11.94	0.0	0.0
2021-06-10	06:00:40	12.83	11.94	0.0	0.0
2021-06-10	06:15:44	12.83	11.94	0.0	0.0
2021-06-10	06:30:49	12.83	11.94	0.0	0.0
2021-06-10	06:45:53	12.83	11.94	0.0	0.0
2021-06-10	07:00:57	12.83	11.94	0.0	0.0
2021-06-10	07:15:01	12.83	11.94	0.025	0.0
2021-06-10	07:30:06	12.83	11.94	0.025	0.0
2021-06-10	07:45:10	12.83	11.94	0.025	0.0
2021-06-10	08:00:14	12.83	11.94	0.025	0.0
2021-06-10	08:15:17	12.83	11.94	0.051	0.0
2021-06-10	08:30:21	13.11	11.94	0.051	0.0
2021-06-10	08:45:25	13.39	11.94	0.051	0.0
2021-06-10	09:00:29	13.67	11.94	0.051	0.0
2021-06-10	09:15:32	13.72	11.94	0.127	0.0
2021-06-10	09:30:37	13.94	11.94	0.127	0.0
2021-06-10	09:45:42	14.06	11.94	0.127	0.0
2021-06-10	10:00:46	14.5	11.94	0.127	0.0
2021-06-10	10:15:50	14.72	11.94	0.22899999999999998	0.0
2021-06-10	10:30:54	14.83	11.94	0.229	0.0
2021-06-10	10:45:58	15.33	11.94	0.22899999999999998	0.0
2021-06-10	11:00:01	15.56	11.94	0.229	0.0
2021-06-10	11:15:06	16.11	11.94	0.381	0.0
2021-06-10	11:30:09	16.44	11.94	0.381	0.0
2021-06-10	11:45:13	16.67	11.94	0.381	0.0
2021-06-10	12:00:19	17.17	11.94	0.381	0.0
2021-06-10	12:15:25	17.33	11.94	0.61	0.0
2021-06-10	12:30:30	17.33	11.94	0.61	0.0
2021-06-10	12:45:35	17.67	11.94	0.61	0.0
2021-06-10	13:00:41	18.11	11.94	0.61	0.0
2021-06-10	13:15:48	18.61	11.94	0.8640000000000001	0.0
